clearance_mm,q_W,T_coolant_C,emissivity,mount_conductance_W_K,T_peak_C,T_wall_C,q_gap_W,q_rad_W,q_mount_W
2.00,120.0,60.0,0.80,1.10,98.3892,69.7215,51.6018,26.1701,42.2281
2.00,120.0,75.0,0.20,0.50,130.5164,86.5302,79.1750,13.0668,27.7582
2.00,120.0,75.0,0.20,1.10,118.6217,84.0020,62.3153,9.7008,47.9838
2.00,120.0,75.0,0.50,0.50,124.8559,86.8840,68.3494,26.7226,24.9280
2.00,120.0,75.0,0.50,1.10,115.1697,84.4767,55.2474,20.5659,44.1866
2.00,120.0,75.0,0.80,0.50,120.8901,87.1319,60.7648,36.2901,22.9451
2.00,120.0,75.0,0.80,1.10,112.6133,84.8282,50.0131,28.6123,41.3746
2.00,150.0,30.0,0.20,0.50,100.9613,44.3149,101.9635,12.5558,35.4807
2.00,150.0,30.0,0.20,1.10,85.5066,41.1178,79.8998,9.0429,61.0573
2.00,150.0,30.0,0.50,0.50,95.2019,44.6749,90.9486,26.4504,32.6010
2.00,150.0,30.0,0.50,1.10,82.1152,41.5842,72.9559,19.7174,57.3267
2.00,150.0,30.0,0.80,0.50,90.9589,44.9401,82.8338,36.6868,30.4794
2.00,150.0,30.0,0.80,1.10,79.4782,41.9467,67.5566,28.0174,54.4260
2.00,150.0,45.0,0.20,0.50,115.3410,59.3537,100.7773,14.0522,35.1705
2.00,150.0,45.0,0.20,1.10,100.1414,56.1681,79.1520,10.1924,60.6556
2.00,150.0,45.0,0.50,0.50,109.0615,59.7462,88.7676,29.2017,32.0307
2.00,150.0,45.0,0.50,1.10,96.4003,56.6825,71.4921,21.9675,56.5403
2.00,150.0,45.0,0.80,0.50,104.5359,60.0290,80.1124,40.1196,29.7680
2.00,150.0,45.0,0.80,1.10,93.5481,57.0746,65.6522,30.9448,53.4029
2.00,150.0,60.0,0.20,0.50,129.6851,74.3947,99.5227,15.6348,34.8425
2.00,150.0,60.0,0.20,1.10,114.7520,71.2216,78.3547,11.4181,60.2272
2.00,150.0,60.0,0.50,0.50,122.8866,74.8196,86.5207,32.0360,31.4433
2.00,150.0,60.0,0.50,1.10,110.6554,71.7849,69.9669,24.3122,55.7209
2.00,150.0,60.0,0.80,0.50,118.0963,75.1190,77.3591,43.5927,29.0481
2.00,150.0,60.0,0.80,1.10,107.5952,72.2057,63.7011,33.9442,52.3547
2.00,150.0,75.0,0.20,0.50,143.9947,89.4378,98.2023,17.3003,34.4973
2.00,150.0,75.0,0.20,1.10,129.3389,86.2784,77.5088,12.7185,59.7727
2.00,150.0,75.0,0.50,0.50,136.6833,89.8948,84.2192,34.9391,30.8416
2.00,150.0,75.0,0.50,1.10,124.8837,86.8910,68.3869,26.7410,54.8721
2.00,150.0,75.0,0.80,0.50,131.6483,90.2095,74.5900,47.0859,28.3242
2.00,150.0,75.0,0.80,1.10,121.6250,87.3391,61.7147,36.9978,51.2875
2.00,180.0,30.0,0.20,0.50,114.7212,47.2049,121.5292,16.1102,42.3606
2.00,180.0,30.0,0.20,1.10,96.4112,43.3685,95.4770,11.4706,73.0524
2.00,180.0,30.0,0.50,0.50,107.5007,47.6562,107.7201,33.5296,38.7503
2.00,180.0,30.0,0.50,1.10,92.1702,43.9516,86.7935,24.8192,68.3872
2.00,180.0,30.0,0.80,0.50,102.2731,47.9829,97.7223,46.1412,36.1365
2.00,180.0,30.0,0.80,1.10,88.9120,44.3996,80.1223,35.0745,64.8032
2.00,180.0,45.0,0.20,0.50,128.9557,62.2528,120.0652,17.9569,41.9778
2.00,180.0,45.0,0.20,1.10,110.9611,58.4304,94.5553,12.8876,72.5572
2.00,180.0,45.0,0.50,0.50,121.1210,62.7424,105.0814,36.8581,38.0605
2.00,180.0,45.0,0.50,1.10,106.3008,59.0711,85.0133,27.5559,67.4308
2.00,180.0,45.0,0.80,0.50,115.5718,63.0893,94.4685,50.2456,35.2859
2.00,180.0,45.0,0.80,1.10,102.7908,59.5538,77.8267,38.6033,63.5699
2.00,180.0,60.0,0.20,0.50,143.1488,77.3032,118.5221,19.9035,41.5744
2.00,180.0,60.0,0.20,1.10,125.4823,73.4962,93.5749,14.3946,72.0305
2.00,180.0,60.0,0.50,0.50,134.7046,77.8310,102.3725,40.2753,37.3523
2.00,180.0,60.0,0.50,1.10,120.3974,74.1954,83.1636,30.3993,66.4371
2.00,180.0,60.0,0.80,0.50,128.8558,78.1965,91.1867,54.3854,34.4279
2.00,180.0,60.0,0.80,1.10,116.6454,74.7113,75.4814,42.2086,62.3099
2.00,180.0,75.0,0.20,0.50,157.3022,92.3561,116.9030,21.9459,41.1511
2.00,180.0,75.0,0.20,1.10,139.9755,88.5659,92.5373,15.9896,71.4730
2.00,180.0,75.0,0.50,0.50,148.2582,92.9214,99.6063,43.7646,36.6291
2.00,180.0,75.0,0.50,1.10,134.4640,89.3237,81.2526,33.3370,65.4104
2.00,180.0,75.0,0.80,0.50,142.1346,93.3041,87.8949,58.5378,33.5673
2.00,180.0,75.0,0.80,1.10,130.4822,89.8712,73.0998,45.8698,61.0304
2.00,210.0,30.0,0.20,0.50,128.3215,50.1049,140.7900,20.0493,49.1608
2.00,210.0,30.0,0.20,1.10,107.2433,45.6290,110.9057,14.1267,84.9676
2.00,210.0,30.0,0.50,0.50,119.5472,50.6533,124.0091,41.2173,44.7736
2.00,210.0,30.0,0.50,1.10,102.0966,46.3367,100.3677,30.3261,79.3062
2.00,210.0,30.0,0.80,0.50,113.3033,51.0435,112.0676,56.2807,41.6517
2.00,210.0,30.0,0.80,1.10,98.1901,46.8739,92.3692,42.6217,75.0091
2.00,210.0,45.0,0.20,0.50,142.4051,65.1622,139.0373,22.2601,48.7026
2.00,210.0,45.0,0.20,1.10,121.7045,60.7031,109.8024,15.8227,84.3749
2.00,210.0,45.0,0.50,0.50,132.9280,65.7545,120.9123,45.1237,43.9640
2.00,210.0,45.0,0.50,1.10,116.0700,61.4779,98.2658,33.5573,78.1770
2.00,210.0,45.0,0.80,0.50,126.3292,66.1669,108.2921,61.0433,40.6646
2.00,210.0,45.0,0.80,1.10,111.8780,62.0543,89.6826,46.7516,73.5658
2.00,210.0,60.0,0.20,0.50,156.4422,80.2224,137.1957,24.5832,48.2211
2.00,210.0,60.0,0.20,1.10,136.1328,75.7817,108.6320,17.6219,83.7461
2.00,210.0,60.0,0.50,0.50,146.2709,80.8581,117.7431,49.1215,43.1354
2.00,210.0,60.0,0.50,1.10,130.0062,76.6241,96.0878,36.9054,77.0069
2.00,210.0,60.0,0.80,0.50,139.3436,81.2910,104.4946,65.8335,39.6718
2.00,210.0,60.0,0.80,1.10,125.5410,77.2381,86.9452,50.9598,72.0951
2.00,210.0,75.0,0.20,0.50,170.4349,95.2853,135.2692,27.0133,47.7174
2.00,210.0,75.0,0.20,1.10,150.5292,90.8647,107.3960,19.5218,83.0821
2.00,210.0,75.0,0.50,0.50,159.5836,95.9635,114.5162,53.1920,42.2918
2.00,210.0,75.0,0.50,1.10,143.9100,91.7749,93.8433,40.3556,75.8011
2.00,210.0,75.0,0.80,0.50,152.3568,96.4152,100.6949,70.6267,38.6784
2.00,210.0,75.0,0.80,1.10,139.1865,92.4244,84.1719,55.2230,70.6052
2.00,240.0,30.0,0.20,0.50,141.7571,53.0152,159.7354,24.3860,55.8785
2.00,240.0,30.0,0.20,1.10,118.0000,47.9000,126.1800,17.0200,96.8000
2.00,240.0,30.0,0.50,0.50,131.3421,53.6661,139.8168,49.5122,50.6710
2.00,240.0,30.0,0.50,1.10,111.8925,48.7398,113.6748,36.2434,90.0817
2.00,240.0,30.0,0.80,0.50,124.0557,54.1215,125.8816,67.0906,47.0279
2.00,240.0,30.0,0.80,1.10,107.3128,49.3695,104.2980,50.6579,85.0441
2.00,240.0,45.0,0.20,0.50,155.6847,68.0822,157.6844,26.9733,55.3423
2.00,240.0,45.0,0.20,1.10,132.3691,62.9868,124.8882,19.0059,96.1060
2.00,240.0,45.0,0.50,0.50,144.4842,68.7822,136.2635,53.9944,49.7421
2.00,240.0,45.0,0.50,1.10,125.7068,63.9028,111.2471,39.9755,88.7774
2.00,240.0,45.0,0.80,0.50,136.8153,69.2615,121.5967,72.4957,45.9076
2.00,240.0,45.0,0.80,1.10,120.8105,64.5761,101.2219,55.3866,83.3915
2.00,240.0,60.0,0.20,0.50,169.5612,83.1524,155.5357,29.6837,54.7806
2.00,240.0,60.0,0.20,1.10,146.7013,78.0786,123.5209,21.1077,95.3714
2.00,240.0,60.0,0.50,0.50,157.5884,83.9007,132.6378,58.5680,48.7942
2.00,240.0,60.0,0.50,1.10,139.4814,79.0713,108.7381,43.8324,87.4295
2.00,240.0,60.0,0.80,0.50,149.5675,84.4020,117.2979,77.9184,44.7838
2.00,240.0,60.0,0.80,1.10,134.2835,79.7860,98.0954,60.1928,81.7118
2.00,240.0,75.0,0.20,0.50,183.3892,98.2257,153.2944,32.5110,54.1946
2.00,240.0,75.0,0.20,1.10,160.9977,93.1753,122.0804,23.3221,94.5975
2.00,240.0,75.0,0.50,0.50,170.6633,99.0210,128.9561,63.2123,47.8316
2.00,240.0,75.0,0.50,1.10,153.2216,94.2445,106.1588,47.7974,86.0438
2.00,240.0,75.0,0.80,0.50,162.3234,99.5423,113.0061,83.3322,43.6617
2.00,240.0,75.0,0.80,1.10,147.7400,94.9983,94.9351,65.0510,80.0140
